Outlet Inventory Sheet,,,,,,,
"Mandarin Oriental, Washington DC",,,,,,,
,,,,,,Period :,________________
Product,Product,,Inv.,Inventory,,Purch.,Outlet
,Description,,Cost,Count,Unit,Par,Par
Outlet,262,Empress Lounge Beverage,,By,Location,,
Location,,Unassigned,,,,,
,,,,,,,
1348,"Scotch, Highland Park, Single Malt, Orkney, 18 year, Scotland (750 ml)",,$125.00 ,_________,EACH,No Par,No Par
,,,,,,,
1209,"Liqueur, Grand Marnier, ""Cuvée du Centenaire"", France (750 ml)",,$119.99 ,_________,EACH,No Par,No Par
,,,,,,,
1375,"Scotch, The Macallan, Single Malt, ""Sherry Oak Cask"", Highlands, 18 year, Scotland (750 ml)",,$306.45 ,_________,BOTTLE,No Par,No Par
,,,,,,,
1271,"Liqueur, Luxardo, Amaretto, ""Di Saschira"", Italy (750 ml)",,$20.74 ,_________,EACH,No Par,No Par
,,,,,,,
1352,"Scotch, Johnnie Walker, Blended, ""Black Label"", Scotland, 12 year, 1L (1000 ml)",,$46.77 ,_________,EACH,No Par,No Par
,,,,,,,
65551,"Liqueur, Caravella, Limoncello, Italy (750ml)",,$0.00 ,_________,EACH,No Par,No Par
,,,,,,,
1361,"Scotch, Springbank, Single Malt, Campbeltown, 18 year, Scotland (750 ml)",,$113.33 ,_________,EACH,No Par,No Par
,,,,,,,
1350,"Scotch, Isle of Skye, Single Malt, ""8 Year"", Isle of Skye, Scotland, 22.67oz (22.67 oz)",,$22.67 ,_________,EACH,No Par,No Par
,,,,,,,
1354,"Scotch, Johnnie Walker, Blended, ""Blue Label"", Scotland (750 ml)",,$201.27 ,_________,EACH,No Par,No Par
,,,,,,,
1351,"Scotch, Johnnie Walker, Blended, ""Red Label"", Scotland, 1L (1000 ml)",,$31.33 ,_________,EACH,No Par,No Par
,,,,,,,
40822,"Scotch, Talisker, Single Malt, ""Storm"", Isle of Skye, Scotland (750ml)",,$55.99 ,_________,EACH,No Par,No Par
,,,,,,,
41825,"Scotch, Glenmorangie, Single Malt, ""Signet"", Highlands, Scotland (750ml)",,$124.39 ,_________,EACH,No Par,No Par
,,,,,,,
1355,"Scotch, Lagavulin, Single Malt, Islay, 16 year, Scotland (750 ml)",,$94.45 ,_________,EACH,No Par,No Par
,,,,,,,
11697,"Scotch, Johnnie Walker, Blended, ""Platinum Label"", Scotland, 18 year (750ml)",,$89.87 ,_________,EACH,No Par,No Par
,,,,,,,
1356,"Scotch, Laphroaig, Single Malt, Islay, 10 year, Scotland (750 ml)",,$42.94 ,_________,EACH,No Par,No Par
,,,,,,,
43367,"Scotch, Johnnie Walker, Blended, ""Double Black"", Scotland (750ml)",,$34.99 ,_________,EACH,No Par,No Par
,,,,,,,
1357,"Scotch, Laphroaig, Single Malt, Islay, 25 year, Scotland (750 ml)",,$480.71 ,_________,EACH,No Par,No Par
,,,,,,,
10730,"Scotch, Glenfiddich, Single Malt, ""Signature"", Speyside, 12 year, Scotland (750ml)",,$51.36 ,_________,EACH,No Par,No Par
,,,,,,,
1362,"Scotch, Talisker, Single Malt, Isle of Skye, 10 year, Scotland (750 ml)",,$65.32 ,_________,EACH,No Par,No Par
,,,,,,,
1342,"Scotch, Glenfiddich, Single Malt, ""Small Batch Reserve"", Speyside, 18 year, Scotland (750 ml)",,$74.97 ,_________,EACH,No Par,No Par
,,,,,,,
1368,"Scotch, The Glenlivet, Single Malt, Speyside, 12 year, Scotland (750 ml)",,$55.08 ,_________,EACH,No Par,No Par
,,,,,,,
1328,"Scotch, Ardbeg, Single Malt, Islay, 10 year, Scotland (750 ml)",,$51.99 ,_________,EACH,No Par,No Par
,,,,,,,
1369,"Scotch, The Glenlivet, Single Malt, Speyside, 18 year, Scotland (750 ml)",,$92.34 ,_________,EACH,No Par,No Par
,,,,,,,
51040,"Scotch, The Balvenie, Single Malt, ""Doublewood"", Speyside, 17 year, Scotland (750ml)",,$124.36 ,_________,EACH,No Par,No Par
,,,,,,,
1374,"Scotch, The Macallan, Single Malt, Highland, 12 year, Scotland (750 ml)",,$65.97 ,_________,BOTTLE,No Par,No Par
,,,,,,,
20731,"Scotch, Glenfiddich, Single Malt, Speyside, 21 year, Scotland (750ml)",,$145.15 ,_________,EACH,No Par,No Par
,,,,,,,
1179,"Canadian Whisky, Crown Royal, Canada, 1L (1000 ml)",,$39.32 ,_________,EACH,No Par,No Par
,,,,,,,
1346,"Scotch, Glenmorangie, Single Malt, ""The Original"", Highlands, 10 year, Scotland (750 ml)",,$46.98 ,_________,EACH,No Par,No Par
,,,,,,,
1200,"Cognac, Courvoisier, VS, Cognac, France, 1L (1000 ml)",,$43.90 ,_________,EACH,No Par,No Par
,,,,,,,
1364,"Scotch, The Balvenie, Single Malt, ""Portwood"", Speyside, 21 year, Scotland (750 ml)",,$183.00 ,_________,EACH,No Par,No Par
,,,,,,,
1199,"Cognac, Courvoisier, VSOP, Cognac, France, 1L (1000 ml)",,$53.17 ,_________,EACH,No Par,No Par
,,,,,,,
1216,"Cognac, Hennessy, ""Paradis Extra"", Cognac, France (750 ml)",,$951.35 ,_________,EACH,No Par,No Par
,,,,,,,
1218,"Cognac, Hennessy, ""Paradis Imperial"", France (750 ml)",,"$2,267.99 ",_________,EACH,No Par,No Par
,,,,,,,
1217,"Cognac, Hennessy, ""Richard Hennessy"", Cognac, France (750 ml)",,"$3,629.99 ",_________,EACH,No Par,No Par
,,,,,,,
1214,"Cognac, Hennessy, VS, Cognac, France, 1L (1000 ml)",,$60.20 ,_________,EACH,No Par,No Par
,,,,,,,
1215,"Cognac, Hennessy, XO, Cognac, France (750 ml)",,$182.48 ,_________,EACH,No Par,No Par
,,,,,,,
1225,"Cognac, Martell, XO, ""Cordon Bleu"", Cognac, France (750 ml)",,$92.51 ,_________,EACH,No Par,No Par
,,,,,,,
1226,"Cognac, Martell, XO, Cognac, France (750 ml)",,$151.24 ,_________,EACH,No Par,No Par
,,,,,,,
